episode,total_env_reward,total_shaped_reward,on_track_steps,on_track_pct,avg_loss,epsilon,steps,elapsed_s
1,-120.79,341.1,803,40.1,0.024576,0.3892,2000,18.9
2,-73.93,143.04,360,18.0,0.017588,0.1468,2000,20.3
3,-98.09,85.46,269,13.4,0.017417,0.0553,2000,20.2
4,-36.6,720.2,1477,73.8,0.018917,0.05,2000,20.2
5,-97.61,542.19,1182,59.1,0.018183,0.05,2000,20.2
6,-57.66,483.17,1024,51.2,0.01977,0.05,2000,20.5
7,-62.39,48.31,159,8.0,0.021476,0.05,2000,20.1
8,-145.02,-35.01,75,3.8,0.019899,0.05,2000,20.0
9,-132.66,168.17,469,23.4,0.019674,0.05,2000,20.0
10,126.67,1011.83,1897,94.8,0.022393,0.05,2000,20.3
11,-32.14,86.93,206,10.3,0.028135,0.05,2000,19.7
12,73.65,832.32,1591,79.5,0.030596,0.05,2000,20.3
13,118.33,752.66,1387,69.3,0.036636,0.05,2000,20.4
14,52.34,985.67,1919,96.0,0.040456,0.05,2000,20.6
15,-124.14,909.43,1943,97.2,0.040786,0.05,2000,20.3
16,-24.74,976.13,1977,98.8,0.041212,0.05,2000,20.4
17,404.1,1088.05,1772,88.6,0.04607,0.05,2000,20.6
18,193.44,1086.22,1979,99.0,0.053917,0.05,2000,20.5
19,432.26,1205.63,1979,99.0,0.057446,0.05,2000,20.8
20,-64.96,949.52,1964,98.2,0.058522,0.05,2000,21.0
21,521.19,1249.09,1977,98.8,0.059022,0.05,2000,20.2
22,767.97,1361.99,1956,97.8,0.067558,0.05,2000,20.4
23,644.77,1299.38,1954,97.7,0.072613,0.05,2000,20.3
24,187.9,1050.45,1913,95.7,0.077814,0.05,2000,20.6
25,181.41,498.21,815,40.8,0.077715,0.05,2000,20.3
26,412.18,961.59,1511,75.5,0.079314,0.05,2000,20.6
27,574.41,1272.71,1971,98.5,0.088581,0.05,2000,20.4
28,821.8,1277.4,1733,97.3,0.093976,0.05,1782,17.9
29,682.74,1330.87,1979,99.0,0.104232,0.05,2000,20.7
30,251.61,1114.31,1977,98.8,0.107457,0.05,2000,20.5
31,5.99,991.5,1977,98.8,0.110286,0.05,2000,20.5
32,843.0,1196.0,1549,98.7,0.114302,0.05,1570,16.1
33,848.6,1170.8,1493,98.6,0.119516,0.05,1514,15.7
34,825.7,1273.85,1722,98.8,0.127358,0.05,1743,18.2
35,831.6,1240.3,1649,97.9,0.13879,0.05,1684,17.6
36,790.68,1308.34,1826,91.3,0.149426,0.05,2000,20.9
37,839.4,1199.2,1559,97.1,0.162157,0.05,1606,16.7
38,819.2,1303.1,1787,98.8,0.167478,0.05,1808,18.8
39,847.9,1173.95,1500,98.6,0.170183,0.05,1521,15.3
40,796.11,1381.05,1966,98.3,0.168956,0.05,2000,20.6
41,-7.27,984.86,1977,98.8,0.160041,0.05,2000,20.8
42,857.8,1123.4,1389,97.7,0.171698,0.05,1422,14.4
43,-27.72,850.64,1729,86.5,0.165871,0.05,2000,20.3
44,823.0,1283.0,1743,98.5,0.172979,0.05,1770,18.1
45,788.85,1362.42,1936,96.8,0.167029,0.05,2000,20.3
46,827.8,1259.4,1691,98.2,0.171048,0.05,1722,17.4
47,821.0,1285.5,1750,97.8,0.1717,0.05,1790,18.4
48,813.9,1325.45,1837,98.7,0.175015,0.05,1861,18.9
49,284.54,494.77,705,35.2,0.18253,0.05,2000,20.4
50,758.48,1287.74,1817,90.8,0.172786,0.05,2000,20.5
