episode,total_env_reward,total_shaped_reward,on_track_steps,on_track_pct,avg_loss,epsilon,steps,elapsed_s
1,-130.69,318.38,992,49.6,0.02084,0.3892,2000,19.5
2,-96.85,-11.31,117,5.8,0.012116,0.1468,2000,20.0
3,-158.6,-67.56,69,3.5,0.013483,0.0553,2000,20.3
4,-144.44,-46.67,100,5.0,0.01153,0.05,2000,20.0
5,-39.59,102.65,316,15.8,0.015911,0.05,2000,20.4
6,-123.36,-56.01,45,2.2,0.015585,0.05,2000,20.9
7,-126.61,187.64,659,33.0,0.015918,0.05,2000,20.4
8,-145.02,193.39,701,35.0,0.016625,0.05,2000,20.8
9,-159.6,-76.96,47,2.4,0.014766,0.05,2000,20.5
10,-20.0,773.6,1964,98.2,0.019248,0.05,2000,20.2
11,-42.86,708.29,1835,91.8,0.02178,0.05,2000,20.0
12,-7.43,705.94,1776,88.8,0.027425,0.05,2000,20.2
13,-13.5,757.1,1913,95.7,0.031562,0.05,2000,20.3
14,42.99,812.59,1967,98.3,0.033673,0.05,2000,20.4
15,82.76,506.46,1142,57.1,0.038437,0.05,2000,20.2
16,92.1,846.06,1977,98.8,0.042851,0.05,2000,20.3
17,76.45,837.47,1979,99.0,0.045531,0.05,2000,2940.8
18,321.31,984.39,1979,99.0,0.053157,0.05,2000,758.8
19,558.06,1126.44,1979,99.0,0.063454,0.05,2000,20.2
20,508.03,1095.62,1977,98.8,0.069913,0.05,2000,20.4
21,806.9,1248.14,1910,98.9,0.078933,0.05,1931,19.3
22,815.1,1213.46,1811,97.9,0.088874,0.05,1849,248.3
23,813.0,1218.2,1826,97.6,0.101771,0.05,1870,18.8
24,187.9,869.94,1893,94.7,0.108608,0.05,2000,20.1
25,761.54,1242.12,1963,98.2,0.113704,0.05,2000,3204.9
26,242.31,690.98,1364,68.2,0.112384,0.05,2000,20.2
27,809.9,1221.54,1839,96.7,0.122043,0.05,1901,19.2
28,852.4,1058.24,1367,92.6,0.13151,0.05,1476,3065.4
29,637.13,1164.28,1955,97.8,0.134389,0.05,2000,569.6
30,812.2,1220.52,1833,97.6,0.146901,0.05,1878,18.9
31,781.27,1229.56,1902,95.1,0.155109,0.05,2000,2997.9
32,789.58,1254.55,1952,97.6,0.15951,0.05,2000,642.1
33,618.79,1103.28,1830,91.5,0.163867,0.05,2000,20.1
34,757.6,1236.16,1954,97.7,0.172607,0.05,2000,2804.1
35,796.49,1211.09,1833,91.7,0.178291,0.05,2000,1886.4
36,607.45,984.47,1550,77.5,0.179715,0.05,2000,20.5
37,813.9,1189.14,1752,94.1,0.186035,0.05,1861,2013.5
38,840.6,1121.96,1544,96.9,0.194706,0.05,1594,147.5
39,853.7,1078.62,1416,96.8,0.194219,0.05,1463,14.6
40,831.4,1137.24,1596,94.7,0.209442,0.05,1686,16.9
41,839.6,1104.16,1501,93.6,0.207256,0.05,1604,2731.4
42,829.5,1171.3,1684,98.8,0.205397,0.05,1705,17.0
43,854.0,1085.6,1433,98.2,0.209116,0.05,1460,14.6
44,850.9,1094.94,1461,98.0,0.222105,0.05,1491,665.1
45,861.3,1062.78,1365,98.4,0.214439,0.05,1387,13.8
46,829.1,1169.06,1679,98.2,0.218853,0.05,1709,17.1
47,806.3,1241.38,1894,97.8,0.218426,0.05,1937,716.3
48,846.8,1106.48,1496,97.7,0.220611,0.05,1532,15.4
49,835.1,1150.26,1623,98.4,0.228678,0.05,1649,16.6
50,833.0,1152.6,1632,97.7,0.227244,0.05,1670,136.3
