episode,total_env_reward,total_shaped_reward,on_track_steps,on_track_pct,avg_loss,epsilon,steps,elapsed_s
1,-127.39,-29.85,848,42.4,0.036981,0.3892,2000,18.9
2,-136.96,-82.97,403,20.1,0.02141,0.1468,2000,19.7
3,-117.2,92.42,1979,99.0,0.020416,0.0553,2000,20.1
4,-88.89,23.3,1033,51.6,0.025758,0.05,2000,20.1
5,-70.31,12.02,753,37.6,0.028542,0.05,2000,20.3
6,-75.91,106.88,1752,87.6,0.031748,0.05,2000,20.1
7,-99.08,-17.67,715,35.8,0.033119,0.05,2000,20.3
8,-110.65,-12.09,875,43.8,0.032364,0.05,2000,20.1
9,-122.56,-90.7,196,9.8,0.033665,0.05,2000,19.9
10,-93.33,-68.5,155,7.8,0.033032,0.05,2000,20.3
11,-64.29,-36.16,217,10.8,0.036687,0.05,2000,20.0
12,-122.3,-97.37,127,6.3,0.037423,0.05,2000,20.2
13,-142.12,-102.51,254,12.7,0.036261,0.05,2000,20.4
14,80.37,142.74,704,35.2,0.042586,0.05,2000,20.6
15,-100.0,-68.4,216,10.8,0.043256,0.05,2000,20.3
16,16.49,80.45,656,32.8,0.047012,0.05,2000,20.4
17,-56.66,-17.49,335,16.8,0.049708,0.05,2000,20.4
18,-95.08,32.73,1183,59.1,0.051374,0.05,2000,20.4
19,-93.55,60.11,1443,72.2,0.051594,0.05,2000,20.5
20,-2.92,22.17,248,12.4,0.053061,0.05,2000,20.6
21,-69.89,-35.1,278,13.9,0.052061,0.05,2000,20.1
22,95.37,180.04,942,47.1,0.055703,0.05,2000,20.4
23,-66.43,-22.28,375,18.8,0.060452,0.05,2000,20.4
24,17.08,92.27,769,38.5,0.059585,0.05,2000,20.4
25,27.56,75.61,508,25.4,0.064294,0.05,2000,20.7
26,136.54,171.48,486,24.3,0.068444,0.05,2000,20.6
27,167.0,336.9,1866,93.3,0.073267,0.05,2000,20.4
28,378.51,450.56,1099,55.0,0.086608,0.05,2000,20.3
29,314.66,450.19,1670,83.5,0.098852,0.05,2000,20.6
30,47.31,184.18,1416,70.8,0.10562,0.05,2000,20.7
31,597.75,719.58,1816,90.8,0.114377,0.05,2000,20.4
32,407.64,560.87,1940,97.0,0.128505,0.05,2000,20.4
33,835.5,903.15,1512,91.9,0.138756,0.05,1645,16.8
34,782.33,843.0,1389,69.5,0.161404,0.05,2000,20.7
35,701.75,812.88,1813,90.7,0.170423,0.05,2000,20.6
36,411.8,550.82,1802,90.1,0.183084,0.05,2000,20.8
37,521.65,648.08,1786,89.3,0.189062,0.05,2000,20.7
38,590.04,719.83,1888,94.4,0.200162,0.05,2000,20.7
39,749.46,871.61,1971,98.5,0.207503,0.05,2000,21.1
40,818.8,916.02,1791,98.8,0.218222,0.05,1812,19.0
41,789.09,889.38,1792,89.6,0.232329,0.05,2000,21.0
42,804.0,917.5,1939,98.9,0.245463,0.05,1960,20.4
43,866.8,909.32,1292,97.0,0.258586,0.05,1332,13.7
44,826.1,915.29,1718,98.8,0.268861,0.05,1739,18.3
45,773.98,889.58,1930,96.5,0.280692,0.05,2000,20.8
46,815.4,911.16,1773,96.0,0.283268,0.05,1846,19.2
47,415.89,556.1,1818,90.9,0.295799,0.05,2000,21.4
48,401.35,549.22,1880,94.0,0.305599,0.05,2000,20.8
49,808.7,901.33,1735,90.7,0.315186,0.05,1913,20.0
50,816.5,905.15,1703,92.8,0.334302,0.05,1835,19.1
