episode,total_env_reward,total_shaped_reward,on_track_steps,on_track_pct,avg_loss,epsilon,steps,elapsed_s
1,-124.09,159.53,1294,64.7,0.029319,0.3892,2000,19.1
2,-116.91,206.68,1501,75.0,0.019631,0.1468,2000,20.5
3,-123.57,251.35,1751,87.5,0.019512,0.0553,2000,20.5
4,-79.08,119.33,913,45.6,0.021164,0.05,2000,20.7
5,-94.2,-40.16,176,8.8,0.021672,0.05,2000,20.5
6,-156.2,-84.96,200,10.0,0.021349,0.05,2000,20.5
7,-129.66,60.47,821,41.0,0.019797,0.05,2000,20.4
8,-110.65,-55.72,164,8.2,0.019885,0.05,2000,20.1
9,-122.56,268.55,1833,91.7,0.022045,0.05,2000,20.2
10,-136.67,286.47,1979,99.0,0.021999,0.05,2000,20.2
11,-46.43,200.46,1188,59.4,0.024113,0.05,2000,20.0
12,-118.92,-78.34,84,4.2,0.025349,0.05,2000,20.3
13,-132.48,2.42,542,27.1,0.025165,0.05,2000,20.3
14,-112.77,74.98,826,41.3,0.026591,0.05,2000,20.4
15,-103.45,-4.16,393,19.6,0.027592,0.05,2000,20.3
16,-41.92,359.86,1967,98.3,0.028725,0.05,2000,20.3
17,73.04,365.83,1537,76.8,0.033016,0.05,2000,20.2
18,-121.31,-22.45,373,18.6,0.036638,0.05,2000,20.3
19,329.03,636.43,1866,93.3,0.039823,0.05,2000,20.6
20,110.22,406.38,1591,79.5,0.046522,0.05,2000,20.3
21,-110.78,307.18,1979,99.0,0.047533,0.05,2000,20.2
22,180.78,320.03,877,43.9,0.052371,0.05,2000,20.4
23,99.64,372.31,1463,73.2,0.055979,0.05,2000,20.3
24,-75.44,4.64,325,16.2,0.054452,0.05,2000,20.5
25,-4.49,131.61,676,33.8,0.057125,0.05,2000,20.5
26,293.59,410.67,879,44.0,0.063075,0.05,2000,20.5
27,136.7,298.96,948,47.4,0.066725,0.05,2000,20.3
28,-67.77,-0.01,271,13.6,0.069408,0.05,2000,20.2
29,148.53,289.23,852,42.6,0.073538,0.05,2000,20.5
30,233.69,552.35,1827,91.3,0.076369,0.05,2000,20.6
31,661.42,885.14,1780,89.0,0.083661,0.05,2000,20.5
32,383.33,427.87,606,30.3,0.096617,0.05,2000,20.1
33,340.27,430.21,790,39.5,0.10179,0.05,2000,20.4
34,803.3,913.64,1355,68.9,0.109074,0.05,1967,20.2
35,554.39,756.71,1566,78.3,0.122121,0.05,2000,20.5
36,293.79,595.03,1800,90.0,0.129461,0.05,2000,20.7
37,825.5,963.2,1514,86.8,0.14024,0.05,1745,950.5
38,812.1,996.68,1735,92.3,0.15181,0.05,1879,19.1
39,810.3,968.04,1599,84.3,0.160959,0.05,1897,961.6
40,855.2,959.16,1375,95.0,0.173535,0.05,1448,14.5
41,458.18,757.75,1956,97.8,0.179392,0.05,2000,20.1
42,839.0,968.4,1486,92.3,0.191447,0.05,1610,16.1
43,851.1,929.08,1241,83.3,0.196516,0.05,1489,935.0
44,859.5,939.6,1260,89.7,0.202357,0.05,1405,14.1
45,777.7,983.16,1805,90.2,0.217915,0.05,2000,20.2
46,861.0,932.8,1220,87.8,0.224164,0.05,1390,921.7
47,783.44,989.35,1813,90.7,0.229194,0.05,2000,20.5
48,837.5,967.2,1486,91.4,0.23361,0.05,1625,970.8
49,829.0,995.6,1662,97.2,0.241318,0.05,1710,18.8
50,782.7,1006.36,1901,95.0,0.251965,0.05,2000,21.7
