episode,total_env_reward,total_shaped_reward,on_track_steps,on_track_pct,avg_loss,epsilon,steps,elapsed_s
1,-123.34,577.83,1279,64.0,0.018261,0.3892,2000,20.2
2,-129.03,464.48,1058,52.9,0.011514,0.1468,2000,21.9
3,-129.58,202.71,535,26.8,0.011328,0.0553,2000,22.8
4,-121.81,53.59,229,11.4,0.011386,0.05,2000,22.6
5,-116.36,643.32,1403,70.2,0.010714,0.05,2000,23.1
6,-119.23,44.38,208,10.4,0.012106,0.05,2000,23.2
7,-143.4,297.3,738,36.9,0.011435,0.05,2000,22.9
8,-141.36,918.82,1979,99.0,0.011235,0.05,2000,23.4
9,-140.0,-35.5,69,3.5,0.011685,0.05,2000,23.1
10,-119.41,279.79,679,34.0,0.01174,0.05,2000,22.8
11,-82.78,77.61,238,11.9,0.012929,0.05,2000,23.1
12,-125.32,926.84,1979,99.0,0.013191,0.05,2000,23.4
13,-108.47,318.26,745,37.2,0.014067,0.05,2000,23.0
14,-226.1,-66.05,94,4.9,0.014824,0.05,1931,21.8
15,-42.47,745.27,1533,76.7,0.019574,0.05,2000,23.1
16,-117.76,169.12,456,22.8,0.017835,0.05,2000,23.4
17,-125.57,454.22,1034,51.7,0.022345,0.05,2000,23.4
18,-129.23,-8.62,112,5.6,0.020657,0.05,2000,23.1
19,-139.68,919.66,1979,99.0,0.020864,0.05,2000,23.6
20,-111.86,846.07,1804,90.2,0.02251,0.05,2000,23.6
21,-125.47,926.77,1979,99.0,0.022725,0.05,2000,24.0
22,-129.94,924.53,1979,99.0,0.024115,0.05,2000,23.9
23,-106.75,935.12,1977,98.8,0.025869,0.05,2000,24.4
24,-70.09,953.45,1977,98.8,0.025442,0.05,2000,24.0
25,-90.03,943.48,1977,98.8,0.026972,0.05,2000,24.1
26,-148.28,915.36,1979,99.0,0.026718,0.05,2000,23.8
27,-123.61,927.69,1979,99.0,0.029171,0.05,2000,23.9
28,-49.46,644.27,1338,66.9,0.030252,0.05,2000,23.7
29,-120.42,295.29,711,35.5,0.032123,0.05,2000,23.8
30,-117.49,619.75,1357,67.8,0.031484,0.05,2000,23.6
31,-108.09,923.46,1955,97.8,0.032626,0.05,2000,23.9
32,-121.57,576.72,1275,63.8,0.032138,0.05,2000,24.3
33,-55.63,731.68,1519,76.0,0.035078,0.05,2000,24.1
34,-104.62,796.69,1698,84.9,0.035077,0.05,2000,24.3
35,-46.42,965.29,1977,98.8,0.037981,0.05,2000,24.5
36,33.13,1006.06,1979,99.0,0.037136,0.05,2000,24.6
37,-130.38,924.31,1979,99.0,0.042202,0.05,2000,24.4
38,-125.8,926.6,1979,99.0,0.042148,0.05,2000,24.1
39,-111.76,335.62,783,39.1,0.040467,0.05,2000,24.4
40,-128.57,925.21,1979,99.0,0.040507,0.05,2000,24.2
41,-117.53,930.74,1979,99.0,0.038191,0.05,2000,24.1
42,-120.38,929.31,1979,99.0,0.040251,0.05,2000,24.1
43,-98.95,248.52,596,29.8,0.039153,0.05,2000,23.8
44,-112.55,933.23,1979,99.0,0.041503,0.05,2000,24.3
45,-136.64,921.18,1979,99.0,0.041435,0.05,2000,24.6
46,3.07,969.53,1936,96.8,0.040969,0.05,2000,24.1
47,-123.61,927.69,1979,99.0,0.041817,0.05,2000,23.8
48,-119.58,929.71,1979,99.0,0.038976,0.05,2000,21.0
49,-112.41,933.3,1979,99.0,0.041506,0.05,2000,20.3
50,-114.29,932.36,1979,99.0,0.04526,0.05,2000,20.3
