episode,total_env_reward,total_shaped_reward,on_track_steps,on_track_pct,avg_loss,epsilon,steps,elapsed_s
1,-130.69,222.31,1046,52.3,0.025904,0.3892,2000,19.1
2,-151.29,28.5,448,22.4,0.013658,0.1468,2000,20.1
3,-164.97,-101.98,45,2.2,0.009764,0.0553,2000,19.7
4,-147.71,-83.0,68,3.4,0.00917,0.05,2000,20.0
5,-97.61,81.37,499,24.9,0.011003,0.05,2000,20.0
6,-130.66,198.34,966,48.3,0.012617,0.05,2000,19.8
7,-163.3,479.39,1979,99.0,0.011062,0.05,2000,20.2
8,-124.4,159.52,822,41.1,0.012353,0.05,2000,20.2
9,-136.03,498.48,1979,99.0,0.012591,0.05,2000,20.0
10,-110.0,478.9,1853,92.7,0.014163,0.05,2000,20.1
11,-96.43,525.6,1977,98.8,0.013584,0.05,2000,19.8
12,-115.54,202.32,944,47.2,0.016003,0.05,2000,19.8
13,-132.48,-64.53,94,4.7,0.015698,0.05,2000,19.9
14,-119.0,130.0,711,35.5,0.017693,0.05,2000,20.4
15,-106.9,170.87,819,41.0,0.017502,0.05,2000,20.2
16,-38.49,192.06,730,36.5,0.019486,0.05,2000,20.3
17,-121.5,508.65,1979,99.0,0.021099,0.05,2000,20.3
18,-88.52,190.93,843,42.1,0.022898,0.05,2000,20.2
19,-119.35,-52.95,102,5.1,0.02204,0.05,2000,20.2
20,-32.12,564.02,1955,97.8,0.022545,0.05,2000,20.3
21,-129.37,503.14,1979,99.0,0.023996,0.05,2000,19.9
22,-118.15,511.0,1979,99.0,0.024076,0.05,2000,20.1
23,-120.58,-55.6,96,4.8,0.026306,0.05,2000,19.8
24,-82.56,535.91,1979,99.0,0.025937,0.05,2000,20.1
25,-81.41,517.81,1916,95.8,0.027091,0.05,2000,20.3
26,-119.87,509.79,1979,99.0,0.026998,0.05,2000,20.5
27,-122.56,507.91,1979,99.0,0.028751,0.05,2000,20.2
28,-22.31,205.18,736,36.8,0.030451,0.05,2000,20.0
29,115.96,665.87,1949,97.5,0.031655,0.05,2000,20.3
30,-31.54,571.02,1977,98.8,0.03492,0.05,2000,20.5
31,9.74,599.92,1977,98.8,0.037429,0.05,2000,20.2
32,119.44,674.31,1969,98.5,0.041615,0.05,2000,20.1
33,300.0,767.4,1858,92.9,0.048324,0.05,2000,20.2
34,54.42,631.79,1979,99.0,0.053117,0.05,2000,20.6
35,161.4,300.18,624,31.2,0.058451,0.05,2000,20.3
36,-128.57,503.7,1979,99.0,0.05936,0.05,2000,20.4
37,463.23,749.06,1416,70.8,0.063236,0.05,2000,20.4
38,280.43,784.6,1961,98.0,0.069696,0.05,2000,92.1
39,254.87,769.41,1970,98.5,0.074364,0.05,2000,21.6
40,589.88,984.42,1905,95.2,0.088356,0.05,2000,1042.5
41,-25.45,176.88,649,32.5,0.088842,0.05,2000,19.9
42,415.12,855.18,1882,94.1,0.086293,0.05,2000,981.9
43,844.1,987.17,1321,84.7,0.098342,0.05,1559,15.6
44,807.9,1077.33,1706,88.8,0.109567,0.05,1921,19.4
45,751.67,924.87,1329,66.5,0.122452,0.05,2000,971.0
46,573.23,723.16,1073,53.6,0.130141,0.05,2000,20.1
47,227.15,733.21,1914,95.7,0.132022,0.05,2000,20.3
48,289.86,568.61,1219,61.0,0.133894,0.05,2000,403.0
49,339.52,519.06,938,46.9,0.13837,0.05,2000,20.4
50,142.56,230.89,437,21.9,0.142156,0.05,2000,362.8
