episode,total_reward,avg_loss,epsilon,steps,elapsed_s
135,793.13,0.542327,0.0996,2000,34.9
136,878.1,0.53735,0.0984,1219,21.4
137,789.51,0.548488,0.0965,2000,35.2
138,793.2,0.543287,0.0947,2000,33.9
139,852.3,0.527105,0.0933,1477,25.1
140,6.57,0.526542,0.0929,457,7.8
141,793.55,0.534034,0.0911,2000,36.4
142,821.4,0.531464,0.0896,1786,32.0
143,786.61,0.526148,0.0878,2000,35.0
144,883.2,0.52532,0.0869,1168,20.8
145,886.8,0.543772,0.0859,1132,20.5
146,775.16,0.542275,0.0843,2000,35.8
147,771.33,0.535496,0.0826,2000,34.0
148,796.64,0.54024,0.081,2000,34.5
149,886.4,0.540407,0.0802,1136,19.3
150,865.0,0.5537,0.0791,1350,22.9
151,887.7,0.541719,0.0783,1123,18.8
152,793.49,0.547296,0.0768,2000,34.8
153,877.7,0.55199,0.0759,1223,20.4
154,882.0,0.532686,0.075,1180,20.0
155,890.6,0.555153,0.0742,1094,18.4
156,787.84,0.551028,0.0728,2000,34.7
157,859.3,0.554164,0.0718,1407,24.3
158,873.4,0.552826,0.071,1266,21.8
159,882.2,0.532621,0.0702,1178,19.5
160,893.5,0.547975,0.0695,1065,17.7
161,836.2,0.542761,0.0684,1638,29.5
162,895.3,0.52997,0.0677,1047,17.4
163,623.53,0.542686,0.0664,2000,35.3
164,876.3,0.538116,0.0656,1237,21.4
165,853.2,0.527183,0.0647,1468,24.9
166,803.6,0.531108,0.0634,1964,34.6
167,890.0,0.536366,0.0628,1100,18.6
168,891.1,0.529694,0.0621,1089,18.2
169,841.3,0.534798,0.0612,1587,27.4
170,781.71,0.541126,0.06,2000,35.8
171,832.8,0.543428,0.059,1672,28.7
172,888.8,0.535012,0.0584,1112,18.7
173,813.5,0.54081,0.0574,1865,32.0
174,887.5,0.518453,0.0568,1125,19.4
175,887.6,0.528544,0.0561,1124,19.1
176,885.0,0.53171,0.0555,1150,19.9
177,901.2,0.513138,0.055,988,17.8
178,796.75,0.518277,0.054,2000,34.4
179,884.7,0.524532,0.0534,1153,19.6
180,886.2,0.517521,0.0528,1138,19.3
181,898.1,0.518765,0.0523,1019,17.1
182,770.41,0.519905,0.0513,2000,35.6
183,765.62,0.527845,0.0503,2000,34.9
184,881.6,0.534885,0.05,1184,20.4
185,796.44,0.518296,0.05,2000,34.5
186,883.1,0.51422,0.05,1169,19.6
187,870.9,0.519993,0.05,1291,22.3
188,738.32,0.509757,0.05,1405,24.1
189,887.8,0.531908,0.05,1122,19.2
190,796.59,0.522258,0.05,2000,34.5
191,796.83,0.522927,0.05,2000,34.6
192,873.3,0.528587,0.05,1267,22.2
193,892.0,0.545529,0.05,1080,19.2
194,906.6,0.546001,0.05,934,16.4
195,911.7,0.537536,0.05,883,15.6
196,907.0,0.536973,0.05,930,16.4
197,902.9,0.544578,0.05,971,16.9
198,908.0,0.540738,0.05,920,15.5
199,903.4,0.543949,0.05,966,16.2
200,833.7,0.543721,0.05,1663,27.8
201,870.6,0.562845,0.05,1294,22.4
202,879.2,0.563562,0.05,1208,20.6
203,905.5,0.56585,0.05,945,15.9
204,893.5,0.571314,0.05,1065,18.0
205,900.8,0.565089,0.05,992,16.7
206,906.4,0.551862,0.05,936,15.6
207,888.6,0.558545,0.05,1114,18.9
208,583.02,0.573362,0.05,2000,34.7
209,886.5,0.566279,0.05,1135,19.3
210,896.2,0.566833,0.05,1038,17.7
211,898.3,0.567902,0.05,1017,17.1
212,793.31,0.562393,0.05,2000,35.0
213,909.1,0.560612,0.05,909,15.2
214,876.1,0.56665,0.05,1239,21.5
215,796.7,0.564393,0.05,2000,35.8
216,890.2,0.575406,0.05,1098,18.7
217,796.83,0.576743,0.05,2000,34.8
218,890.8,0.58051,0.05,1092,19.7
219,907.2,0.56068,0.05,928,16.9
220,895.0,0.576042,0.05,1050,18.9
221,896.1,0.571152,0.05,1039,18.3
222,427.91,0.571633,0.05,2000,36.0
223,790.42,0.56218,0.05,2000,36.9
224,896.5,0.566137,0.05,1035,18.5
225,885.5,0.557924,0.05,1145,19.7
226,897.2,0.570526,0.05,1028,18.1
227,907.5,0.561803,0.05,925,15.9
228,901.1,0.565379,0.05,989,17.7
229,912.0,0.571937,0.05,880,15.7
230,881.9,0.570012,0.05,1181,21.3
231,793.69,0.558345,0.05,2000,36.8
