episode,"Baseline (lr=1e-4, γ=0.99)",High lr (lr=5e-4),Low gamma (γ=0.95),Fast decay (ε-decay=0.999),Large batch (batch=128)
114,778.1931464174055,873.0999999999758,211.214953271012,634.8909657320489,563.2398753893734
115,881.4999999999767,793.7694704049436,92.83489096574036,879.7999999999766,765.7320872273774
116,747.9166666666267,895.7999999999809,730.5555555555294,895.6999999999807,786.1111111110737
117,884.4999999999856,451.757188498368,752.0766773162646,885.1999999999852,758.46645367409
118,904.399999999986,898.6999999999839,271.77419354835655,908.9999999999868,783.8709677419001
119,896.29999999999,901.8999999999887,796.1089494163109,902.2999999999893,888.5999999999868
120,800.0999999999611,901.9999999999842,775.862068965482,895.8999999999827,882.1999999999811
121,822.3999999999637,888.5999999999796,443.3121019107963,888.1999999999787,861.7999999999755
122,791.2536443148349,823.8999999999756,406.41399416909206,155.68513119533168,639.6501457725642
123,773.8372093022972,791.2790697674112,581.9767441860242,797.0930232557832,759.3023255813682
124,892.199999999982,886.1999999999797,384.1924398625113,819.9999999999651,789.69072164945
125,890.3999999999795,907.7999999999834,792.1568627450611,811.1999999999695,768.6274509803537
126,804.99999999997,836.0999999999754,376.6666666666334,823.9999999999728,769.9999999999684
127,789.690721649444,748.453608247383,298.281786941552,900.5999999999824,796.5635738831238
128,796.825396825359,784.1269841269452,612.6984126983801,886.5999999999807,777.7777777777407
129,894.399999999981,876.3999999999777,-17.625085910651606,793.1271477662831,775.9450171820932
130,742.1768707482673,762.5850340135761,347.6190476190173,893.9999999999893,776.190476190445
131,881.6999999999797,884.4999999999808,269.7986577180896,891.699999999982,793.2885906039887
132,786.5319865319476,793.2659932659548,769.6969696969361,897.9999999999822,776.4309764309405
133,805.5999999999625,902.099999999983,133.3333333333368,896.0999999999833,765.6357388315777
134,897.5999999999841,796.5517241378934,826.2999999999739,899.3999999999833,878.8999999999816
135,886.9999999999806,469.4030927834913,463.2302405497985,890.3999999999809,707.2164948453235
136,886.3999999999891,838.3999999999769,772.3183391003176,903.9999999999911,748.0968858131196
137,786.0139860139502,902.5999999999843,293.00699300696107,834.7999999999706,716.0839160838842
138,883.8999999999878,765.986394557791,-84.35374149659681,899.5999999999901,825.4999999999752
139,893.8999999999896,892.1999999999892,733.993399339906,786.798679867955,878.0999999999879
140,790.68322981363,787.5776397515137,492.54658385090147,765.8385093167321,678.8819875776053
141,813.6999999999734,894.8999999999902,793.5483870967507,522.5806451612576,780.6451612902929
142,887.5999999999805,901.2999999999827,777.2727272726914,896.6999999999833,891.1999999999822
143,918.2999999999845,921.899999999985,-30.357142857138374,919.2999999999847,799.9999999999591
144,867.9999999999752,890.9999999999793,379.8045602605553,892.5999999999804,796.742671009732
145,761.1307420494327,897.4999999999836,637.4558303886595,768.1978798586182,729.3286219080909
146,765.8385093167328,882.3999999999805,154.03726708074203,787.5776397515149,734.782608695617
147,897.1999999999857,813.3999999999666,-58.288530465944454,898.499999999986,827.8999999999718
148,776.5100671140563,796.6442953019751,-65.77181208053491,908.4999999999842,742.9530201341919
149,893.3999999999818,892.3999999999824,749.4949494949144,796.6329966329564,877.9999999999792
