timesteps,win_rate,mean_return
15000,0.0,0.0
30000,0.0,0.0
45000,0.0,-9.75
60000,0.0,-7.1875
75000,0.0,-6.958333333333333
90000,0.2727272727272727,0.18181818181818182
105000,0.23076923076923078,0.9615384615384616
120000,0.26666666666666666,1.8
135000,0.25,0.7375
150000,0.23809523809523808,0.42857142857142855
165000,0.25,0.8125
180000,0.2692307692307692,1.1923076923076923
195000,0.25,1.2321428571428572
210000,0.21212121212121213,-0.26515151515151514
225000,0.18421052631578946,-0.9210526315789473
240000,0.17073170731707318,-1.1829268292682926
255000,0.18604651162790697,-0.8197674418604651
270000,0.1956521739130435,-0.6956521739130435
285000,0.20408163265306123,-0.4489795918367347
300000,0.23076923076923078,0.125
315000,0.2222222222222222,-0.2175925925925926
330000,0.23728813559322035,0.3432203389830508
345000,0.23728813559322035,0.3432203389830508
360000,0.22580645161290322,0.07661290322580645
375000,0.234375,0.30078125
390000,0.23529411764705882,0.2536764705882353
405000,0.23943661971830985,0.5704225352112676
420000,0.2465753424657534,0.8732876712328768
435000,0.2465753424657534,0.8732876712328768
450000,0.24675324675324675,0.9707792207792207
465000,0.27380952380952384,1.4910714285714286
480000,0.26744186046511625,1.311046511627907
495000,0.25842696629213485,1.2162921348314606
510000,0.24731182795698925,1.0349462365591398
525000,0.25263157894736843,1.2026315789473685
540000,0.25,1.1588541666666667
555000,0.25,1.1375
570000,0.2549019607843137,1.3897058823529411
585000,0.26666666666666666,1.5857142857142856
600000,0.27102803738317754,1.7009345794392523
615000,0.26126126126126126,1.5405405405405406
630000,0.26548672566371684,1.6106194690265487
645000,0.27586206896551724,1.8060344827586208
660000,0.27350427350427353,1.8504273504273505
675000,0.2727272727272727,1.7892561983471074
690000,0.272,1.704
705000,0.2748091603053435,1.7938931297709924
720000,0.2727272727272727,1.6931818181818181
735000,0.2727272727272727,1.6931818181818181
750000,0.2814814814814815,1.8833333333333333
765000,0.2898550724637681,2.0833333333333335
780000,0.2907801418439716,2.117021276595745
795000,0.2916666666666667,2.0833333333333335
810000,0.2876712328767123,2.041095890410959
825000,0.28187919463087246,1.8590604026845639
840000,0.2894736842105263,2.0411184210526314
855000,0.2903225806451613,2.0596774193548386
870000,0.2929936305732484,2.1130573248407645
885000,0.29559748427672955,2.180817610062893
900000,0.294478527607362,2.1395705521472395
915000,0.2874251497005988,1.8697604790419162
930000,0.2874251497005988,1.8697604790419162
945000,0.27906976744186046,1.7630813953488371
960000,0.28,1.7585714285714287
975000,0.2722222222222222,1.4680555555555554
990000,0.2786885245901639,1.6243169398907105
1005000,0.2826086956521739,1.7133152173913044
1020000,0.2826086956521739,1.7133152173913044
1035000,0.2804232804232804,1.667989417989418
1050000,0.28125,1.73046875
1065000,0.27918781725888325,1.6205583756345177
1080000,0.27638190954773867,1.5364321608040201
1095000,0.2722772277227723,1.4071782178217822
1110000,0.27450980392156865,1.4497549019607843
1125000,0.28019323671497587,1.6364734299516908
1140000,0.2796208530805687,1.5817535545023698
1155000,0.27699530516431925,1.5880281690140845
1170000,0.27906976744186046,1.619767441860465
1185000,0.28440366972477066,1.7511467889908257
1200000,0.28378378378378377,1.7488738738738738
1215000,0.2825112107623318,1.701793721973094
1230000,0.28,1.7544444444444445
1245000,0.2807017543859649,1.7401315789473684
1260000,0.2813852813852814,1.7467532467532467
1275000,0.2754237288135593,1.6546610169491525
1290000,0.2791666666666667,1.7322916666666666
1305000,0.2768595041322314,1.662190082644628
1320000,0.2757201646090535,1.6162551440329218
1335000,0.27530364372469635,1.5931174089068827
1350000,0.27309236947791166,1.5261044176706828
1365000,0.2698412698412698,1.4742063492063493
1380000,0.265625,1.349609375
1395000,0.26744186046511625,1.3875968992248062
1410000,0.26436781609195403,1.3237547892720307
1425000,0.2631578947368421,1.2960526315789473
1440000,0.26666666666666666,1.3675925925925927
1455000,0.2647058823529412,1.3079044117647058
1470000,0.26373626373626374,1.2646520146520146
1485000,0.2608695652173913,1.1838768115942029
1500000,0.2571428571428571,1.0883928571428572
