timesteps,win_rate,mean_return
30000,0.0,-8.5
60000,0.16666666666666666,-3.25
90000,0.25,-0.1875
120000,0.2631578947368421,0.25
150000,0.25,-0.17708333333333334
180000,0.2,-1.125
210000,0.2777777777777778,1.0347222222222223
240000,0.2682926829268293,0.4573170731707317
270000,0.2653061224489796,0.8061224489795918
300000,0.25925925925925924,0.6759259259259259
330000,0.22950819672131148,-0.0860655737704918
360000,0.21875,-0.37890625
390000,0.22388059701492538,-0.26865671641791045
420000,0.21052631578947367,-0.09868421052631579
450000,0.20512820512820512,-0.11858974358974358
480000,0.20481927710843373,-0.07228915662650602
510000,0.2111111111111111,0.16111111111111112
540000,0.22916666666666666,0.7369791666666666
570000,0.24242424242424243,1.0833333333333333
600000,0.25688073394495414,1.3761467889908257
630000,0.25,1.1116071428571428
660000,0.24369747899159663,0.8949579831932774
690000,0.23387096774193547,0.7681451612903226
720000,0.23255813953488372,0.6627906976744186
750000,0.2426470588235294,0.9797794117647058
780000,0.2446043165467626,1.0089928057553956
810000,0.2482758620689655,1.206896551724138
840000,0.25333333333333335,1.355
870000,0.2564102564102564,1.392628205128205
900000,0.25925925925925924,1.3688271604938271
930000,0.25595238095238093,1.1994047619047619
960000,0.2658959537572254,1.5260115606936415
990000,0.27071823204419887,1.5883977900552486
1020000,0.2648648648648649,1.4108108108108108
1050000,0.26455026455026454,1.3862433862433863
1080000,0.25252525252525254,1.231060606060606
1110000,0.2524752475247525,1.2165841584158417
1140000,0.2523809523809524,1.1916666666666667
1170000,0.2535211267605634,1.1960093896713615
1200000,0.2636363636363636,1.4715909090909092
1230000,0.2577777777777778,1.3055555555555556
1260000,0.25217391304347825,1.233695652173913
1290000,0.25,1.1875
1320000,0.24793388429752067,1.0898760330578512
1350000,0.25,1.1300403225806452
1380000,0.25,1.1240079365079365
1410000,0.24904214559386972,1.1724137931034482
1440000,0.24812030075187969,1.1475563909774436
1470000,0.25,1.146139705882353
1500000,0.2517985611510791,1.1483812949640289
1530000,0.2535211267605634,1.1487676056338028
1560000,0.2534722222222222,1.1276041666666667
1590000,0.25084745762711863,1.0966101694915253
1620000,0.25333333333333335,1.2175
1650000,0.25333333333333335,1.2616666666666667
1680000,0.25666666666666665,1.3066666666666666
1710000,0.25333333333333335,1.185
1740000,0.25,1.1758333333333333
1770000,0.25,1.1241666666666668
1800000,0.25,1.1225
1830000,0.25333333333333335,1.2791666666666666
1860000,0.25333333333333335,1.3191666666666666
1890000,0.25,1.3383333333333334
1920000,0.25666666666666665,1.5391666666666666
1950000,0.2633333333333333,1.6858333333333333
1980000,0.2633333333333333,1.7391666666666667
2010000,0.2633333333333333,1.7508333333333332
2040000,0.27,1.8183333333333334
2070000,0.27,1.8291666666666666
2100000,0.2733333333333333,1.8883333333333334
2130000,0.27666666666666667,1.9575
2160000,0.26666666666666666,1.7008333333333334
2190000,0.27,1.75
2220000,0.2733333333333333,1.8691666666666666
2250000,0.2733333333333333,1.9025
2280000,0.28,2.0991666666666666
2310000,0.2833333333333333,2.1266666666666665
2340000,0.2833333333333333,2.1175
2370000,0.2733333333333333,1.7808333333333333
2400000,0.2733333333333333,1.7925
2430000,0.2633333333333333,1.4783333333333333
2460000,0.26666666666666666,1.5683333333333334
2490000,0.25666666666666665,1.3408333333333333
2520000,0.26,1.41
2550000,0.25666666666666665,1.3075
2580000,0.25,1.1383333333333334
2610000,0.25,1.0583333333333333
2640000,0.25666666666666665,1.1633333333333333
2670000,0.25666666666666665,1.1391666666666667
2700000,0.25333333333333335,1.0875
2730000,0.25333333333333335,1.1041666666666667
2760000,0.25333333333333335,1.1225
2790000,0.24333333333333335,0.8791666666666667
2820000,0.24666666666666667,0.9991666666666666
2850000,0.25,0.9741666666666666
2880000,0.24666666666666667,0.8825
2910000,0.24333333333333335,0.7766666666666666
2940000,0.24,0.545
2970000,0.24333333333333335,0.6075
3000000,0.24,0.5425
