episode,total_env_reward,total_shaped_reward,on_track_steps,on_track_pct,avg_loss,epsilon,steps,elapsed_s
1,-139.6,125.2,390,19.5,0.01456,0.3892,2000,22.5
2,-154.23,912.39,1979,99.0,0.006636,0.1468,2000,22.4
3,-146.43,916.29,1979,99.0,0.007559,0.0553,2000,22.6
4,-139.29,-19.14,101,5.0,0.007902,0.05,2000,23.1
5,146.57,909.79,1673,83.7,0.015172,0.05,2000,23.3
6,-157.51,277.24,712,53.1,0.02108,0.05,1340,15.2
7,-125.53,26.23,178,8.9,0.027419,0.05,2000,23.0
8,-123.66,-10.83,102,5.1,0.024152,0.05,2000,22.9
9,-138.42,103.29,345,17.2,0.022869,0.05,2000,23.7
10,-97.89,24.06,146,7.3,0.023708,0.05,2000,23.3
11,-80.4,598.3,1277,63.9,0.021749,0.05,2000,23.3
12,-131.46,381.27,894,44.7,0.022841,0.05,2000,23.3
13,92.1,1035.55,1979,99.0,0.024496,0.05,2000,23.4
14,411.51,1188.26,1965,98.2,0.036554,0.05,2000,23.6
15,-133.75,336.62,807,40.4,0.045282,0.05,2000,23.1
16,-16.33,981.34,1979,99.0,0.040047,0.05,2000,23.4
17,-129.29,38.35,206,10.3,0.041703,0.05,2000,23.4
18,-103.91,-2.45,99,14.8,0.041075,0.05,671,7.3
19,80.0,607.0,1134,56.7,0.045187,0.05,2000,23.8
20,235.11,1095.56,1956,97.8,0.050872,0.05,2000,23.3
21,164.24,503.62,843,42.1,0.055287,0.05,2000,23.5
22,101.24,891.12,1681,84.0,0.053039,0.05,2000,23.9
23,586.89,1245.94,1905,95.2,0.06661,0.05,2000,24.1
24,-39.72,968.64,1977,98.8,0.074522,0.05,2000,24.4
25,324.79,1092.9,1861,93.0,0.080924,0.05,2000,23.6
26,811.3,1319.65,1828,96.9,0.099953,0.05,1887,22.3
27,-94.39,941.31,1977,98.8,0.102171,0.05,2000,24.3
28,287.26,1132.63,1978,98.9,0.102195,0.05,2000,24.0
29,183.39,1062.19,1941,97.0,0.102477,0.05,2000,24.1
30,612.27,1098.64,1585,79.2,0.11133,0.05,2000,23.9
31,449.48,880.24,1311,65.5,0.118069,0.05,2000,24.1
32,808.8,1329.9,1851,96.8,0.119668,0.05,1912,23.0
33,729.08,1351.04,1973,98.7,0.129292,0.05,2000,23.6
34,-26.39,916.31,1859,93.0,0.135137,0.05,2000,24.9
35,756.2,1367.6,1979,99.0,0.143364,0.05,2000,647.9
36,677.62,1292.81,1908,95.4,0.15981,0.05,2000,23.8
37,829.4,1256.2,1683,98.7,0.152631,0.05,1706,20.2
38,866.9,1087.95,1309,98.3,0.161872,0.05,1331,15.5
39,835.7,1228.85,1622,98.7,0.169995,0.05,1643,19.5
40,814.6,1303.8,1793,96.7,0.174188,0.05,1854,22.1
41,828.3,1256.65,1685,98.1,0.177265,0.05,1717,20.5
42,810.5,1323.75,1837,96.9,0.175042,0.05,1895,23.1
43,740.97,1358.99,1977,98.8,0.182179,0.05,2000,23.8
44,823.4,1276.2,1729,97.9,0.185839,0.05,1766,21.4
45,793.49,1376.24,1959,98.0,0.197144,0.05,2000,24.4
46,824.8,1277.9,1731,98.8,0.190134,0.05,1752,21.1
47,858.9,1107.45,1356,96.1,0.195827,0.05,1411,17.1
48,761.76,1351.88,1942,97.1,0.196395,0.05,2000,24.5
49,806.9,1355.95,1905,98.7,0.195217,0.05,1931,23.5
50,803.5,1371.75,1940,98.7,0.188258,0.05,1965,23.9
