episode,total_env_reward,total_shaped_reward,on_track_steps,on_track_pct,avg_loss,epsilon,steps,elapsed_s
1,-136.24,106.26,470,23.5,0.022071,0.3892,2000,20.3
2,-157.75,-73.05,54,2.7,0.008859,0.1468,2000,22.1
3,-39.29,110.83,336,16.8,0.013231,0.0553,2000,22.6
4,-160.71,-76.43,50,2.5,0.013905,0.05,2000,23.0
5,-135.02,-20.21,152,7.6,0.012556,0.05,2000,23.3
6,-144.44,-53.47,83,4.2,0.01293,0.05,2000,22.9
7,-97.16,18.9,193,9.7,0.015416,0.05,2000,23.0
8,-47.33,150.4,447,22.4,0.018357,0.05,2000,22.7
9,-106.16,18.7,206,10.3,0.02189,0.05,2000,23.9
10,-161.27,694.84,1979,99.0,0.022285,0.05,2000,23.3
11,-123.59,-26.95,118,5.9,0.02238,0.05,2000,23.1
12,-72.27,77.04,301,15.1,0.025671,0.05,2000,23.4
13,-31.62,457.03,1190,59.5,0.027207,0.05,2000,23.5
14,156.12,509.27,1039,52.0,0.034881,0.05,2000,23.6
15,-73.82,20.91,163,8.2,0.0403,0.05,2000,23.1
16,-131.97,712.42,1979,99.0,0.040879,0.05,2000,23.5
17,123.23,351.14,693,34.6,0.04327,0.05,2000,23.4
18,-35.96,770.02,1979,99.0,0.04577,0.05,2000,23.7
19,-109.09,150.55,540,27.0,0.047581,0.05,2000,23.2
20,120.61,863.97,1979,99.0,0.050702,0.05,2000,23.3
21,150.99,882.2,1979,99.0,0.055892,0.05,2000,23.8
22,73.29,451.58,1019,51.0,0.060024,0.05,2000,24.1
23,95.08,848.65,1979,99.0,0.064762,0.05,2000,24.4
24,399.3,1030.38,1977,98.8,0.068819,0.05,2000,23.7
25,308.26,975.76,1977,98.8,0.074161,0.05,2000,23.5
26,191.3,904.78,1975,98.8,0.075932,0.05,2000,24.2
27,-31.68,771.79,1977,98.8,0.076915,0.05,2000,24.0
28,73.89,835.93,1979,99.0,0.080735,0.05,2000,24.2
29,125.88,867.13,1979,99.0,0.082572,0.05,2000,23.9
30,-12.27,783.44,1977,98.8,0.087409,0.05,2000,24.1
31,81.79,840.67,1979,99.0,0.087367,0.05,2000,24.1
32,80.3,839.78,1979,99.0,0.094045,0.05,2000,23.6
33,179.43,884.86,1943,97.2,0.100447,0.05,2000,24.9
34,-88.89,737.47,1977,98.8,0.103568,0.05,2000,648.0
35,164.96,885.38,1966,98.3,0.107113,0.05,2000,23.7
36,58.74,824.44,1973,98.7,0.114169,0.05,2000,23.7
37,327.78,987.07,1976,98.8,0.119656,0.05,2000,23.7
38,229.66,925.79,1970,98.5,0.131334,0.05,2000,23.9
39,557.25,1112.35,1945,97.2,0.126444,0.05,2000,23.8
40,82.83,838.9,1973,98.7,0.127184,0.05,2000,24.4
41,591.97,1016.78,1654,82.7,0.136237,0.05,2000,23.7
42,306.58,971.95,1970,98.5,0.141657,0.05,2000,24.3
43,-75.0,365.8,1027,51.4,0.139457,0.05,2000,24.3
44,365.84,596.7,943,47.1,0.1473,0.05,2000,24.2
45,379.8,861.48,1584,79.2,0.157161,0.05,2000,24.5
46,432.87,949.32,1724,86.2,0.168376,0.05,2000,24.3
47,796.24,1194.94,1793,89.7,0.184489,0.05,2000,24.3
48,379.41,908.85,1703,85.2,0.193747,0.05,2000,22.7
49,708.26,1084.15,1648,82.4,0.197793,0.05,2000,20.9
50,669.86,1048.32,1616,80.8,0.212859,0.05,2000,20.8
