episode,total_env_reward,total_shaped_reward,on_track_steps,on_track_pct,avg_loss,epsilon,steps,elapsed_s
1,-127.39,712.88,1073,53.6,0.010961,0.3892,2000,18.7
2,-139.83,1343.35,1979,99.0,0.005601,0.1468,2000,19.9
3,-126.75,970.67,1441,72.0,0.005558,0.0553,2000,19.9
4,-128.1,114.87,219,10.9,0.006039,0.05,2000,19.7
5,-11.42,158.28,231,35.5,0.007921,0.05,651,6.2
6,-145.26,23.62,96,4.8,0.011501,0.05,2000,19.5
7,-163.3,620.21,956,47.8,0.010866,0.05,2000,20.2
8,-158.76,-14.03,48,2.4,0.010718,0.05,2000,20.1
9,-156.23,100.13,210,10.5,0.009309,0.05,2000,20.2
10,-123.33,44.2,116,5.8,0.010277,0.05,2000,19.8
11,-110.71,763.39,1138,56.9,0.009816,0.05,2000,20.1
12,215.54,846.56,1117,55.9,0.013058,0.05,2000,20.1
13,108.68,477.8,636,31.8,0.020642,0.05,2000,20.2
14,-13.08,696.07,1000,50.0,0.022074,0.05,2000,20.2
15,27.59,410.78,575,28.8,0.02435,0.05,2000,20.1
16,243.3,1435.19,1946,97.3,0.029254,0.05,2000,20.2
17,73.04,574.21,789,39.5,0.032566,0.05,2000,20.1
18,-108.2,1352.84,1979,99.0,0.034034,0.05,2000,20.6
19,403.23,1489.47,1955,97.8,0.039325,0.05,2000,20.4
20,168.61,1434.48,1977,98.8,0.042141,0.05,2000,20.3
21,513.75,1495.33,1916,95.8,0.047241,0.05,2000,20.2
22,-121.71,43.99,115,5.8,0.048384,0.05,2000,19.7
23,745.85,1590.15,1952,97.6,0.05034,0.05,2000,20.2
24,184.34,1409.8,1935,96.8,0.057519,0.05,2000,20.4
25,69.23,1399.07,1969,98.5,0.057515,0.05,2000,20.7
26,-132.69,1331.49,1959,98.0,0.056556,0.05,2000,20.4
27,210.77,1433.13,1957,97.8,0.062537,0.05,2000,20.6
28,320.66,1450.7,1935,96.8,0.071992,0.05,2000,20.2
29,80.13,1409.34,1979,99.0,0.07708,0.05,2000,20.5
30,273.12,795.24,1019,51.0,0.083176,0.05,2000,20.5
31,605.24,1543.07,1945,97.2,0.092713,0.05,2000,288.5
32,129.86,1424.26,1979,99.0,0.088815,0.05,2000,22.0
33,296.64,1456.79,1954,97.7,0.092103,0.05,2000,961.1
34,75.62,1392.59,1957,97.8,0.094336,0.05,2000,22.4
35,154.39,1426.02,1971,98.5,0.092477,0.05,2000,21.5
36,-134.78,1344.87,1979,99.0,0.096448,0.05,2000,20.9
37,538.83,1301.95,1629,81.5,0.094634,0.05,2000,20.9
38,575.8,1556.64,1977,98.8,0.10143,0.05,2000,20.4
39,507.58,1530.57,1969,98.5,0.102953,0.05,2000,20.8
40,578.21,1471.26,1854,92.7,0.121423,0.05,2000,20.4
